city,total_sales_value
Conceição do Castelo,2316.0
Parnamirim,35922.35
Dores de Campos,747.0
Tacuru,770.6500000000001
Dracena,31807.190000000002
Jundiaí,103592.76000000008
Cristina,599.99
Juína,3261.99
São Gabriel,4065.0
Santa Cruz,3718.0
Itaguari,547.0
Presidente Kennedy,6793.0
São Roque de Minas,798.0
Caravelas,987.5
Alto Paraná,2151.0
Pirajuba,1923.0
Perdões,5150.99
Apiaí,427.0
cacoal,79.99
Catolé do Rocha,996.0
Pedro Canario ,89.99
Santa Leopoldina,1474.0
Curitiba,479955.2299999997
Barão do Triunfo,547.0
Pacaraima  ,798.0
Pirassununga,13067.1
Iconha,1775.5
Morro do Chapéu,649.0
Itupeva,7309.199999999999
Castro Alves,2022.0
Barra do Ribeiro,1196.0
Tibagi,1964.0
Ibiá,3180.6
Colinas do Tocantins,5526.0
Fazenda Rio Grande,1047.0
Caldeirão Grande do Piauí,398.0
Vil Velha,955.0
Espera Feliz,3773.3
Cana Verde,1257.0
Rio Vermelho,777.0
BAURU,2171.0
Missal,498.0
Marcelino Ramos,1793.99
São Gonçalo,328820.6599999995
São Cristóvão,8424.7
Nova América,837.0
São José do Calçado,2128.0
Mirassol,11403.4
Córrego Fundo,1783.8
Urubici,139.0
Bagé,6179.0
Brasnorte,629.0
Guararapes,5642.389999999999
Tarabai,398.0
Alhandra,648.0
Guia Lopes da Laguna,976.0
Praia do Forte,896.0
Minaçu,6660.99
Heitoraí,908.0
Confresa,6117.0
Duartina,5749.5
Colméia,527.0
Quintana,298.0
Taboão da Serra,20447.2
Caputira,3330.0
Alvorada,3673.98
Nova Crixás,1829.0
Santa Cruz das palmeiras,349.0
Andirá,3531.0
São José do Cedro,349.0
Wenceslau Braz,579.0
Capitão Leônidas Marques,179.0
Guanambi,18375.89
BRUMADINHO,198.0
Queimados,18096.45
Guaranésia,1426.0
Campestre de Goiás,1645.0
Viçosa do Ceará,518.7
Cristalina,15989.99
Alto Alegre dos Parecis,928.0
Mata Grande,1056.4
Diamantino,8870.0
Jamapará,449.0
Pinhalzinho,2322.0
Seringueiras,2881.0
Jaguapitã,398.0
Três de Maio,796.0
Francisco Santos,726.0
Adolfo,398.0
Estância,1354.99
Igrejinha,1504.0
Ibiaí,2374.0
Conceição da Feira,449.99
Arroio dos Ratos,2400.0
JaguariunA,698.0
Ferraz de Vasconcelos,3000.5
Bocaiúva,4145.0
São José do Egito,747.0
Guapiaçu,817.0
Lagoa Seca,1446.99
Codó,508.0
Rolim de Moura,5316.6
Cotia,33766.57000000001
Inhuma,2809.0
NOVA MUTUM,678.0
Corumbá,12731.0
Guaimbê,258.0
Américo Brasiliense,129.0
Registro,4721.2
Presidente Médici,4468.0
Taquaral de Goiás,1374.0
Bilac,996.0
Águas Formosas,2510.0
Embu das Artes,6689.5
Papagaios,798.0
Simão Dias,6285.0
Siqueira Campos,398.0
Valente,1245.0
Dom Basílio,673.5
Ouro Preto do Oeste,8337.99
Goianésia,8901.99
Buritizeiro,1026.0
Piaçabuçu,398.0
Tucano,7120.99
Rancho Alegre,449.0
Jaguarão,807.0
Tapera,3980.0
Itapicuru,677.0
São João do Paraíso,1075.0
Taguaí,1769.19
São Pedro do Piauí,1385.0
Costa Marques,398.0
Tangará,1814.0
Atílio Vivácqua,298.0
Santo Estevão,1105.0
Sant'Ana do Livramento,287.0
Caraúbas,398.0
Ferreiros,1845.0
Nova Itaberaba,827.0
Arenápolis,1098.0
Chorrochó,1473.0
Itabuna,38131.490000000005
Coroatá,349.0
Guarulhos,75894.54000000001
Oeiras,816.5
Palhoça,17837.339999999997
Guarapuava,7871.49
Ribeirão Pires,6134.19
Joinville ,827.0
Santa Bárbara do Leste,2125.98
Guimarânia,4967.5
Tumiritinga,845.0
Ariranha do Ivaí,379.0
Caçu,2346.5
Tupaciguara,6496.0
maceió,908.0
Entre Rios.,179.99
Videira,89.99
Mascote,349.0
Piraju,5670.0
Itacurussá,49.0
Acajutiba,5182.0
SANTA CRUZ DO SUL,429.0
Núcleo Residencial Pilar,169.0
Vertentes,4837.0
Arapongas,19954.68
Senhor do Bonfim,11680.2
VITÓRIA,349.0
Itaú de Minas,2122.99
Palmas,74227.45
Brejo do Cruz,349.0
Apodi,5300.5
RIBEIRAO PRETO,1425.0
Aquidauana,577.0
Flores,796.0
Santo Amaro da Imperatriz,2543.0
Tramandaí,1952.8000000000002
Eusébio,4124.99
Afogados da Ingazeira,1424.0
Barra Mansa,93491.68000000005
Matinhos,2181.0
São Francisco do Conde,628.0
Moju,1694.0
iracemápolis,478.0
Piquete,927.0
Alegre,7114.500000000001
Joaquim Távora,1454.0
Aparecida,1365.0
Guaçuí,6307.8
Ibitirama,10372.0
Araguaína,11906.0
Goiania,3559.5
Agrestina,598.0
Mongaguá,379.0
Santo Antônio de Posse,857.0
Sorriso,3972.1
São Vicente de Minas,945.0
Formosa do Oeste,349.0
Itaituba,5731.6
Xangri-Lá,877.0
Capelinha,2958.0
Sertânia,1304.0
Cícero Dantas,1734.0
Santa Rita do Sapucaí,14853.48
Barra da estiva ,449.0
Minas Novas,7858.950000000001
Paranaíba,4699.1900000000005
Guarapari,67391.47999999998
Campo Florido,1038.2
Ibiporã,11959.7
Jaú,24861.780000000002
sao paulo,8547.0
Canavieiras,5350.99
Guanhães,4141.5
Ouro Preto ,2163.1
Senhora do Porto,398.0
Várzea da Palma,9923.45
José de Freitas,3677.0
BARRA MANSA,549.0
ARARUAMA,796.0
Colorado do Oeste,858.0
Buíque,1555.0
Santo Antônio do Aventureiro,478.0
Pereiras,977.0
Niterói ,577.0
Xambrê,728.0
Juazeirinho,1473.0
Cascavel,26817.38
Vila Rica,1584.4
Gravataí,6967.5
Marechal Cândido Rondon,6138.5
Indiana,449.0
Planalto,549.0
Miguelópolis,6590.5
Aurilândia,314.3
Fátima do Sul,1454.6
Bento Gonçalves,10756.0
Guabiruba,1047.0
Cláudia,847.0
Rio das Ostras,77248.23000000004
Capinzal do Norte,429.0
Candelária,2066.6
Brusque,53136.4
Minduri,329.0
Canela,1925.99
Jaíba,1472.0
Torrinha ,498.0
Pacaraima,610.49
Miguel Alves,1775.0
Aramari,174.5
Santiago,2242.0
Alfredo Chaves,11062.49
Maragogipe,4279.0
Raul Soares,2588.0
Itinga,810.5
Brasilândia de Minas,1306.0
Canaã dos Carajás,10185.2
Oliveira dos Brejinhos,3300.0
Cachoeira do Sul,1045.0
Limeira,78894.70999999999
Abadiânia,279.0
Santa Carmem,129.0
Carazinho,7075.0
Forquilhinha,528.0
Santarém,21541.6
SERRA,1156.0
São Sebastião do Passé,528.0
São Francisco do Glória,149.0
Santa Isabel do Ivaí,3269.0
Aracruz,42359.75999999999
Colônia Leopoldina,429.0
PIRACICABA,1047.0
Messias Targino,398.0
Floraí,985.5
Minas do Leão,324.5
Ibirité ,408.0
Boa Vista do Tupim,449.0
Guaratinguetá,13499.89
VILA VELHA,449.0
Goiás,4231.0
Santa Rosa,4806.5
Santa Cruz da Baixa Verde,877.0
