city,total_revenue
Goianinha,3108.0
Epitaciolândia,3108.0
Sericita,3103.99
Campina Grande do Sul,3100.0
Nova Olinda,3100.0
Maria Helena,3092.0
Cametá,3083.0
Arinos,3078.4
Taquaritinga,3072.5
Tocantins,3066.6
Ponte Nova,3054.99
Governador Edison Lobão,3051.98
Rio de janeiro,3050.98
Ubaí,3050.0
IPOJUCA,3048.6
Orizona,3047.0
Rio Verde ,3047.0
Laranja da Terra,3035.0
Araçoiaba,3010.0
Tupi Paulista,3001.0
Ferraz de Vasconcelos,3000.5
Iguatama,2997.0
VITORIA,2992.0
Porto Real,2988.0
Monte Mor,2968.5
Capelinha,2958.0
Córrego Danta,2951.0
Surubim,2943.0
Aparecida do Taboado,2937.0
rio de janeiro,2928.99
São Francisco do Sul,2928.0
Nova Aurora,2920.5
Areal,2909.8
Machado,2900.0
SALVADOR,2899.0
Mirassol D'Oeste,2899.0
Engenheiro Paulo de Frontin,2894.98
Pombal,2893.2
Seringueiras,2881.0
Bom Sucesso,2880.98
Guarani,2876.99
Dores do Indaiá,2850.0
Caieiras,2828.2
Porto Franco,2827.5
Lima Duarte,2827.4
Tomé-Açu,2818.0
Inhuma,2809.0
Macaúbas,2799.0
Campo Bom,2799.0
Teixeiras,2791.0
Ruy Barbosa,2788.0
Uruaçu,2788.0
Cordeirópolis,2786.8
São Gabriel do Oeste,2781.99
Uibaí,2778.0
Serra Negra,2777.0
Mimoso do Sul,2767.75
Poá,2763.5
São Lourenço da Mata,2755.5
Três Marias,2749.0
Barra da Estiva,2748.0
Abaetetuba,2746.0
Poções,2731.0
Rancharia,2722.59
Senador Guiomard,2710.0
Coronel Murta,2710.0
Sidrolândia,2702.0
Catas Altas,2701.0
Gurupi,2700.99
Major Isidoro,2698.0
Brejo da Madre de Deus,2696.0
Mundo Novo,2693.5
Oriximiná,2683.99
Capivari,2682.0
Cocos,2680.0
Patrocínio do Muriaé,2678.0
São Domingos do Prata,2678.0
Lajinha,2670.0
Virgem da Lapa,2662.1
Ponto dos Volantes,2660.0
Extrema,2658.0
Flores da Cunha,2651.0
Américo de Campos,2647.8
Iraquara,2641.0
Júlio de Castilhos,2621.0
Medianeira,2604.9799999999996
Conchal,2604.0
Ituaçu,2601.0
Campina Verde,2592.0
Jaborandi,2590.0
Raul Soares,2588.0
Pires do Rio,2573.0
Lavínia,2573.0
Bom Conselho,2569.0
Jandaia do Sul,2562.98
Caeté,2560.99
Campos Gerais,2550.0
Rio Pomba,2550.0
Santo Amaro da Imperatriz,2543.0
Telêmaco Borba,2541.0
Iporá,2533.0
Garibaldi,2532.0
Várzea Paulista,2531.0
Paranatinga,2530.4
São José do Campestre,2528.99
Salgueiro,2525.5
Eldorado do Sul,2524.5
Mandaguaçu,2522.0
Planaltina,2522.0
Içara,2520.0
Turmalina,2510.8
Águas Formosas,2510.0
Firminópolis,2508.0
Ichu,2503.0
São Vicente Ferrer,2499.0
Itinga do Maranhão,2497.5
Casa Nova,2492.0
Itanhém,2491.0
Custódia,2483.0
Esmeraldas,2482.0
Paraíso do Norte,2480.0
Rio Acima,2460.0
Jequitinhonha,2455.2
Martinho Campos,2454.0
RECIFE,2453.0
Jaguariaíva,2451.0
Carmópolis de Minas,2450.0
Jacutinga,2447.0
Ijuí,2433.0
Fervedouro,2432.0
Mutum,2429.4
Venâncio Aires,2425.7
Capão Bonito,2418.5
Rio Grande da Serra,2415.5
Pitangui,2414.5
Espinosa,2413.0
Camamu,2403.0
Arroio dos Ratos,2400.0
Anagé,2400.0
Nova Fátima,2393.0
Boquira,2392.0
Senador Firmino,2388.0
Timon,2381.0
Tres pontas,2379.0
Ibiaí,2374.0
